Regular Rima,Bevelacqua 81664 5.213142924753722
Investment Ronny,Caiafa 14213 11859.483669578794 Growth
Regular Weldon,Acuff 39695 11888.594965153485
Regular Minna,Amigon 86796 12114.173247399316
Regular Sarah,Candlish 11721 12175.222312244947
Regular Stephane,Myricks 75226 12194.293997652148
Savings Willard,Kolmetz 86625 12474.783949384126 11.681482621177784
Investment Erick,Ferencz 89116 13001.577803829665 Growth
Regular Britt,Galam 31946 13307.6336170429
Regular Moon,Parlato 75391 13678.951860037978
Investment Leatha,Hagele 77161 13754.851162809455 Shares
Investment Merlyn,Lawler 92333 13857.830954115123 Growth
Investment Jettie,Mconnell 13561 14269.513936955922 Property
Regular Lindsey,Dilello 36534 14370.689008878222
Regular Aja,Gehrett 82746 14556.364030466637
Regular Peggie,Sturiale 96777 14644.755021245113
Savings Loren,Asar 63469 14789.128188516963 0.480121510007796
Regular Penney,Weight 23167 14901.005070898664
Savings Barrett,Toyama 56594 14988.591520051517 5.5093897404070376
Regular Lucina,Lary 67616 15212.789978604022
Regular Dominque,Dickerson 21782 16086.288698333026
Savings Brittni,Gillaspie 35229 16190.974938619593 10.22502530421172
Investment Timothy,Mulqueen 55436 16242.57837285673 Growth
Savings Selma,Husser 68923 16264.013067985568 8.269300472185861
Regular Gail,Kitty 44369 16879.58302822243
Savings Joseph,Cryer 68866 17005.659037749618 10.348801397666552
Savings Daniela,Comnick 17882 17161.60087593089 2.092767361237362
Investment Kiley,Caldarera 95417 17826.92330590907 Growth
Regular Lashandra,Klang 62962 17900.806701422807
Savings Luisa,Jurney 18916 17922.98710612331 8.99252803138975
Investment Valentin,Klimek 52933 18498.077344441674 Shares
Investment Nu,Mcnease 95972 18821.243325825464 Growth
Regular Sage,Wieser 58717 18860.063449919628
Savings Chaya,Malvin 92233 19022.784544719216 4.501115342807133
Investment Cammy,Albares 14485 19145.36653974763 Growth
Regular Dorthy,Hidvegi 32864 19513.240691712883
Investment Carin,Deleo 87149 19678.774403305943 Growth
Regular Yolando,Luczki 34534 19958.221984087508
Regular Brock,Bolognia 14444 19968.27871301939
Savings Leota,Ragel 35855 20159.55484545936 0.25809924210030655
Savings Mirta,Mallett 32984 20214.54712978955 9.78862658089745
Savings Catalina,Tillotson 66151 20407.512306176744 5.163181403493812
Investment Pete,Dubaldi 72852 20431.971960617266 Property
Savings Lilli,Scriven 42511 20647.982245200612 9.206960380696957
Regular Paz,Sahagun 82512 21073.87351325608
Savings Colette,Kardas 31911 21191.571683502305 9.149941013049858
Investment Raymon,Calvaresi 23783 21264.8297786145 Growth
Investment Raul,Upthegrove 16971 21775.731905497563 Property
Savings Yoko,Fishburne 19996 21795.09470778732 2.112257154809495
Investment Ciara,Ventura 62957 21847.057709004435 Shares
Investment Shenika,Seewald 99592 22037.334398117768 Property
Regular Carlee,Boulter 89915 22046.53911083433
Regular Karl,Klonowski 95482 22188.183551893202
Regular Merissa,Tomblin 89669 22334.61256769745
Savings Blair,Malet 85696 22404.11781019058 6.693736951985918
Savings Gwenn,Suffield 13862 22483.121336836164 1.0358087066943233
Regular Ty,Smith 39486 22585.429067356075
Regular Beckie,Silvestrini 22592 22955.654640178032
Investment Cyril,Daufeldt 23148 23036.64318477625 Shares
Regular Joni,Breland 83395 23347.670816127073
Regular Lonna,Diestel 24592 23769.86766141762
Savings Edna,Miceli 46291 23773.5547238035 0.766201137198367
Savings Kris,Marrier 79654 23825.84076219034 4.261430087947905
Investment Golda,Kaniecki 92182 23831.426302634638 Property
Investment Skye,Fillingim 61147 24277.02688579666 Shares
Regular Micaela,Rhymes 87626 24530.83678552873
Regular Serina,Zagen 43746 24867.12024923019
Investment Albina,Glick 86397 25435.43544485487 Shares
Regular Stevie,Westerbeck 63421 25451.931585795082
Regular Billye,Miro 27564 26146.029589689733
Savings Virgina,Tegarden 54257 26173.39068505392 3.5310086074703033
Investment Cherry,Lietz 16399 27354.433303259848 Property
Savings Daniel,Perruzza 73835 27386.965750442603 10.838542014906047
Savings Vallie,Mondella 54386 27394.897214970468 1.5609616900277654
Savings Cristy,Lother 86587 27396.234366153036 3.559483064384713
Savings Novella,Degroot 95521 28057.886147016008 7.409202477981296
Savings Elza,Lipke 96956 28138.87374078999 11.848120434517028
Savings Annelle,Tagala 85221 28202.479788708566 7.810919627581359
Investment Benedict,Sama 75765 28529.789969122474 Growth
Savings Sylvia,Cousey 92392 29126.23706482853 6.057120222385981
Savings Jenelle,Regusters 48168 29304.09210640771 2.4456695830815884
Investment Nichelle,Meteer 39299 29403.50758117106 Property
Investment Alease,Buemi 28396 29450.10282901482 Shares
Savings Ahmed,Angalich 53828 29483.138535668073 4.8578029680108745
Investment Leslie,Threets 85637 29504.611642078467 Shares
Regular Quentin,Swayze 48489 29779.28891013157
Investment Terrilyn,Rodeigues 11335 30227.871533290894 Shares
Regular Jennie,Drymon 43749 30251.531622552728
Savings Eden,Jayson 38242 30266.245204397455 0.15297617353623583
Regular Ozell,Shealy 52798 30288.988395108183
Investment Viva,Toelkes 37636 30469.544629761232 Property
Regular Kallie,Blackwood 63521 30552.347302479462
Regular Stephaine,Barfield 65869 30682.863968575646
Regular Rolande,Spickerman 38232 31032.17354562987
Savings Ryan,Harnos 89899 31336.173929790508 5.952142662670079
Savings Marvel,Raymo 53441 31525.58318795133 3.6576010369885905
Regular Eladia,Saulter 16251 31890.280241605473
Regular Fausto,Agramonte 13311 32453.85008737126
Regular Graciela,Ruta 38118 33111.22648107059
Savings Celeste,Korando 42174 33161.7582372921 2.1073800453230116
Investment Kimbery,Madarang 32322 33183.27667455905 Growth
Regular Stephaine,Vinning 15296 33246.008347497554
Savings Casie,Good 34933 33257.86205572608 5.360453525595933
Investment Lynelle,Auber 42187 33271.53908414357 Growth
Regular Frederica,Blunk 72497 33348.6212508079
Savings Alisha,Slusarski 77825 33630.29423115063 7.762683516342289
Investment Howard,Paulas 22336 34216.453643529356 Shares
Regular Janey,Gabisi 84983 35161.40958881777
Regular Helga,Fredicks 23471 35306.15473880043
Investment Kati,Rulapaugh 84248 35331.52079815444 Growth
Savings Corinne,Loder 53975 35559.93506564937 10.829557602764176
Investment Lai,Harabedian 58458 35582.39669750349 Property
Investment Whitley,Tomasulo 94924 35716.17160205608 Property
Investment Myra,Munns 43544 35797.79463627392 Property
Regular Bobbye,Rhym 25216 35898.21927643122
Investment Markus,Lukasik 99346 35944.164297719435 Shares
Investment Angella,Cetta 14923 36310.34131919195 Shares
Savings Staci,Schmaltz 38932 36358.91191873284 1.0477659962386872
Investment Truman,Feichtner 86179 36385.087395550996 Property
Investment Roselle,Estell 34513 36508.384704029704 Shares
Investment Amber,Monarrez 25665 36968.12584817144 Shares
Investment Bulah,Padilla 74473 37022.337077236334 Growth
Regular Diane,Devreese 36977 37298.190026280776
Investment Sharee,Maile 18944 37423.5325357894 Property
Savings Kimberlie,Duenas 61586 37667.14490872525 8.202876063337415
Regular Yuki,Whobrey 28688 37781.17664097373
Savings Alesia,Hixenbaugh 39616 38118.19427291927 0.8579288740637927
Regular Beatriz,Corrington 35199 38126.959205291794
Investment Daren,Weirather 21989 38621.54339609638 Growth
Savings Kenneth,Grenet 95685 39581.747502550075 11.944754059089233
Regular Nelida,Sawchuk 26845 39939.46110846018
Savings Lenna,Newville 65891 40091.816860522755 1.7006952237824677
Savings Sharika,Eanes 78954 40405.897880532626 11.274097380104848
Investment Jani,Biddy 65961 40591.10958100007 Property
Regular Lenna,Paprocki 85778 40605.98476612557
Investment Keneth,Borgman 54212 40716.84668746545 Property
Savings Denise,Patak 17242 40811.894384397296 0.5097992321861287
Savings Leonora,Mauson 16176 40857.34460569322 10.723758937706712
Investment Ernie,Stenseth 62799 41137.89559482369 Property
Investment Kayleigh,Lace 11661 41389.28084274288 Shares
Regular Detra,Coyier 19737 41605.702077182
Savings Hermila,Thyberg 16672 41684.763158854475 8.294575336179937
Regular Irma,Wolfgramm 99991 41724.09612511165
Investment Ernest,Syrop 14797 42167.032634642164 Shares
Savings Bette,Nicka 67424 42399.787567527776 7.159849469147321
Investment Lisha,Centini 33946 42431.28062441338 Property
Savings Roxane,Campain 17746 42530.102864376284 7.381429215019575
Savings Krissy,Rauser 57297 42640.305236571614 9.718400283983582
Regular Pamella,Schmierer 18613 42646.488134320934
Savings Justine,Ferrario 15377 42802.65372521517 9.917967238913917
Investment Ceola,Setter 18165 42925.265342447805 Property
Savings Quentin,Birkner 13386 43042.13285946637 1.0940294217927136
Investment Sabra,Uyetake 19493 43099.730005918034 Property
Investment Lizette,Stem 47681 43438.86090082446 Shares
Investment Filiberto,Tawil 86643 43600.28256590646 Growth
Savings Dean,Ketelsen 43391 43644.36965549273 11.111713716246523
Savings Nobuko,Halsey 45976 43722.111609488 7.596396749888811
Investment Jess,Chaffins 71357 44379.67275540927 Shares
Investment Kasandra,Semidey 74639 44624.0960235311 Growth
Investment Clorinda,Heimann 83843 44718.21464381561 Growth
Regular Jacqueline,Rowling 81274 45233.87863989823
Regular Malinda,Hochard 39616 46339.17441022042
Savings Claribel,Varriano 79447 46515.5399456566 0.3773929748458906
Savings Virgie,Kiel 34576 46854.53140033724 6.493460462922082
Savings Deonna,Kippley 38764 46872.37475920962 11.75623010290954
Savings Levi,Munis 27826 46990.29645145708 8.721267795189839
Investment Junita,Brideau 13634 47006.44874461219 Growth
Regular Gracia,Melnyk 29492 47144.871989435494
Regular Roslyn,Chavous 54117 47182.686933759964
Regular Jutta,Amyot 83263 47412.38255882443
Regular Eun,Coody 61387 47633.528083337726
Regular Elouise,Gwalthney 54293 47661.960767970966
Savings Janine,Rhoden 14997 47906.424164119366 2.3206620195055034
Investment Mozell,Pelkowski 46375 47965.27161845768 Shares
Regular Kristeen,Turinetti 87759 48435.77550300476
Regular Fatima,Saylors 64913 48817.95865949149
Savings Willodean,Konopacki 84526 49032.51794324093 1.5421126830094147
Investment Louisa,Cronauer 55388 49392.07379457216 Growth
Investment Wilda,Giguere 52167 49446.32537488568 Property
Regular Annmarie,Castros 45826 49888.10118496221
Regular Latrice,Tolfree 99148 50259.28260791188
Investment Rozella,Ostrosky 27925 50270.7301398145 Shares
Regular Martina,Staback 61491 50497.20106239879
Regular Laurel,Pagliuca 65218 50546.56736884567
Savings Nieves,Gotter 51854 50794.95178610621 11.188207765006178
Savings Dierdre,Yum 36341 50860.5758253012 4.767901891583211
Investment Raylene,Kampa 71561 51346.48720021716 Property
Savings James,Butt 98563 51521.14512486685 1.558215984489411
Regular Stephen,Emigh 34233 51936.968144369166
Investment Glen,Bartolet 83746 52429.417799980925 Growth
Regular Fabiola,Hauenstein 99789 52681.08973399055
Savings Bernardo,Figeroa 92996 52839.220535359505 10.102814760091865
Investment Andra,Scheyer 34117 53209.158995073885 Shares
Regular Lauran,Burnard 47367 53678.72521066945
Investment Cecily,Hollack 18858 54679.644141582285 Shares
Savings Teddy,Pedrozo 41675 55086.60708571038 11.302205686428293
Regular Evangelina,Radde 73354 55533.653791060766
Regular Rolland,Francescon 56594 55593.33215699035
Savings Tresa,Sweely 61847 55598.93870902368 2.341983985639472
Savings Antione,Onofrio 69566 55778.57799150597 2.0001259769359265
Investment Erinn,Canlas 95879 55838.12879881553 Property
Regular Carissa,Batman 51393 55845.21721613526
Regular Mariann,Bilden 28672 56188.023892504585
Savings Renea,Monterrubio 38397 56195.93022476686 6.197536834237223
Savings Jesusa,Shin 42548 56594.573640545066 11.306893529476554
Regular Johnna,Engelberg 32322 56634.19415750677
Investment Audra,Kohnert 49495 56976.388819870015 Shares
Regular Johnetta,Abdallah 95596 57098.38198098568
Savings Lemuel,Latzke 12126 57771.64697103883 3.7806274520170415
Regular Chau,Kitzman 33939 58084.36341971804
Savings Emerson,Bowley 71885 58151.01613939014 5.727432614205413
Regular Devora,Perez 85576 58483.63801422062
Regular Nickolas,Juvera 81825 59073.5304733961
Investment Cecilia,Colaizzo 87494 59104.22649879795 Shares
Regular Danica,Bruschke 86318 59122.08320461217
Regular Delisa,Crupi 73489 59136.30399814949
Savings Tasia,Andreason 65123 59174.627825745374 9.50020241421469
Regular Jerry,Zurcher 14846 59186.23064539484
Regular Deeanna,Juhas 43537 59422.41160703648
Savings Dottie,Hellickson 12896 59477.32759258502 5.7384328445062
Regular Becky,Mirafuentes 17374 59484.995699276034
Regular Jaclyn,Bachman 49457 59720.1010740093
Regular Gertude,Witten 72984 59851.290477727845
Regular Wynell,Dorshorst 28365 59903.7203181901
Regular Earleen,Mai 17551 60098.710719641145
Investment Laurel,Reitler 37573 60119.55378335806 Shares
Savings Tiera,Frankel 91133 60477.892218358764 9.977708114331698
Investment Lavera,Perin 43658 60480.93314954347 Shares
Investment Elly,Morocco 39595 60494.050596354864 Growth
Investment Raina,Brachle 89784 60565.35763406536 Property
Savings Theola,Frey 49311 60718.39100579797 9.9817610569187
Regular Refugia,Jacobos 68774 60870.02980038518
Savings Alishia,Sergi 45697 60984.91975285607 4.193403865199963
Regular Josphine,Villanueva 12422 61197.60218504768
Savings Chanel,Caudy 58623 61199.401799539584 6.958064557096389
Regular Alpha,Palaia 33161 61485.65446456521
Savings Lashawnda,Stuer 53181 61604.99209030914 0.9485167134824755
Regular Yvonne,Tjepkema 92834 62005.950714495404
Investment Delmy,Ahle 81658 62061.418291405134 Property
Savings Tyra,Shields 94632 62269.62403198089 4.521932462162187
Regular Alecia,Bubash 67349 62626.66181347152
Investment Linn,Paa 56531 62677.32080930193 Property
Savings Benton,Skursky 63932 62904.5547037961 2.026419745014356
Savings Jose,Stockham 18866 62946.802221755934 3.2014348176848637
Regular Erick,Nievas 58816 62981.454921748315
Regular Marge,Limmel 75683 63345.90824639136
Investment Ressie,Auffrey 98652 63347.67856632233 Shares
Investment Ligia,Reiber 68277 63419.175834835005 Growth
Savings Elke,Sengbusch 35815 63474.28067172581 3.0120261883492065
Investment Charlene,Hamilton 98882 63553.379886984985 Growth
Investment Rebecka,Gesick 29477 63622.18262842969 Shares
Savings Lavonda,Hengel 66839 63714.283968901975 5.119414500947887
Savings Carma,Vanheusen 84517 63958.02479414979 6.3036312341484155
Savings Lonny,Weglarz 38468 64176.455248911996 7.980791307969952
Regular Lucy,Treston 67743 64361.14758556423
Investment Daron,Dinos 88688 64447.8542523097 Growth
Regular Lorean,Martabano 65513 64529.118296507724
Savings Rasheeda,Sayaphon 68332 64690.91746044918 2.8428297162324427
Regular Adell,Lipkin 72524 65017.27051236032
Savings Mona,Delasancha 67852 65066.223938364674 4.242244014372433
Investment Joesph,Degonia 45654 65572.19775854197 Shares
Regular Gayla,Schnitzler 62374 65710.9496836871
Savings Carmelina,Lindall 17886 65857.94817791636 6.371417809291756
Investment Vilma,Berlanga 91463 66045.96174255875 Shares
Investment Dalene,Riden 71695 66512.93779595065 Property
Savings Tiffiny,Steffensmeier 76455 66695.9752690421 5.670368218771361
Regular Noah,Kalafatis 73254 66854.21460619706
Savings Nicolette,Brossart 83649 66909.65243698767 6.930819476399014
Investment Dyan,Oldroyd 16497 67162.63444086286 Shares
Investment Arlene,Klusman 49543 67289.96162930445 Growth
Investment Katina,Polidori 47838 67630.82196887706 Growth
Savings Joanna,Leinenbach 84447 67642.01504473295 6.913052607177351
Investment Ezekiel,Chui 44353 67856.0729349655 Property
Regular Chantell,Maynerich 97156 68020.03315426686
Regular Tammara,Wardrip 73114 68172.46881907254
Investment Rhea,Aredondo 64772 68480.6382016952 Growth
Regular Reita,Leto 26745 68671.43665022463
Regular Jamal,Vanausdal 32174 68724.15493956038
Investment Derick,Dhamer 54328 68961.95459038613 Property
Regular Mitzie,Hudnall 28786 69162.97787706375
Investment Catarina,Gleich 23863 69397.88679891481 Shares
Regular Jeanice,Claucherty 32693 69547.40549309726
Investment Jina,Briddick 43785 70160.63885733568 Shares
Investment Hillary,Skulski 34971 70210.10875402288 Growth
Investment Tamar,Hoogland 94738 70274.19929994374 Property
Regular Alaine,Bergesen 57392 70568.23690790177
Regular Bok,Isaacs 84155 70834.20912482003
Savings Caitlin,Julia 16831 71030.18462383021 8.9851556031204
Savings Heike,Berganza 25588 71494.18858657536 11.353616656065459
Savings Fernanda,Jillson 29778 71744.70855187713 7.324996514357041
Savings Cristal,Samara 52674 72094.10575739844 8.506807042183574
Regular Mari,Lueckenbach 49895 72147.05680450937
Investment Dick,Wenzinger 13598 72239.12770908719 Growth
Savings Josephine,Darakjy 54871 72326.30129288034 6.403367086613427
Investment Lashon,Vizarro 25231 73084.47053702119 Growth
Savings Valentine,Gillian 56785 73235.58277836775 0.24412259634620925
Investment Veronika,Inouye 69315 73272.25043145724 Shares
Regular Norah,Waymire 21518 73807.76326311416
Regular Glory,Schieler 71812 74351.50843256623
Investment Adelina,Nabours 43296 74364.68066442083 Growth
Savings Marti,Maybury 87911 74481.34093243758 11.93997540910903
Investment Brett,Mccullan 18886 74760.47427160283 Property
Savings My,Rantanen 57718 74965.82681149006 8.774904296433053
Regular Venita,Maillard 19469 74972.52281245828
Regular Hubert,Walthall 91252 75043.61007539174
Regular Glenn,Berray 81711 75152.60099378148
Regular Alex,Loader 83195 75156.30432763233
Investment Laticia,Merced 47722 75176.68569148237 Shares
Savings Xochitl,Discipio 53456 75197.78090376378 8.157672508314263
Investment Thurman,Manno 61711 75354.70286518884 Growth
Savings Vincenza,Zepp 71375 75474.37764992983 3.325979855536841
Savings Tawna,Buvens 63884 76269.19342805061 3.323871203965728
Regular Gail,Similton 87516 76435.57598706313
Savings Lavonna,Wolny 56376 76680.27453754703 1.1705518722717976
Savings Jerry,Dallen 27843 76966.43615083209 2.2614896011133543
Savings Kate,Keneipp 61642 77133.10147520162 10.488454262646734
Investment Rosio,Cork 53219 77205.04060837302 Growth
Investment Salena,Karpel 23889 77549.12563790297 Shares
Regular Arminda,Parvis 22688 77703.53380084853
Investment Ruthann,Keener 42112 78183.77827268958 Property
Savings Portia,Stimmel 93625 78402.35331789387 8.541464781664772
Savings Gearldine,Gellinger 96191 78412.58386528598 8.98813920015449
Investment Carmela,Cookey 93596 78664.4032627827 Growth
Savings Roosevelt,Hoffis 58226 78826.74402116155 0.6736832519655791
Savings Freeman,Gochal 94451 78861.36352158178 7.257845259835232
Savings Matthew,Neither 61435 78862.24254439215 5.629367085651529
Investment Dalene,Schoeneck 52462 79052.1882553677 Shares
Savings Xuan,Rochin 38695 79132.30366372166 11.440109606747821
Investment Regenia,Kannady 15479 79317.20959752458 Property
Regular Sherita,Saras 47465 79378.9082371388
Savings Winfred,Brucato 22991 79484.31234825985 11.902347308124948
Regular Tracey,Modzelewski 17555 80049.49528669573
Regular Taryn,Moyd 67875 80834.9160823309
Regular France,Buzick 76693 81078.7543649111
Investment Lezlie,Craghead 69564 81155.02050607443 Property
Savings Viola,Bitsuie 15683 81390.68371997877 7.375721200192846
Investment Youlanda,Schemmer 61787 81904.26166073856 Shares
Regular Loreta,Timenez 46654 81954.95920387126
Regular Meaghan,Garufi 23462 82121.09057277332
Regular Cory,Gibes 83833 82401.54324017548
Regular Ashlyn,Pinilla 29344 82745.83329536274
Regular Donte,Kines 77742 82887.45481888481
Investment Lashaunda,Lizama 81813 83068.66841215457 Growth
Regular Sharen,Bourbon 24576 83158.90311980686
Regular Lettie,Isenhower 48158 83293.3676935815
Regular Solange,Shinko 29299 83825.04106907791
Savings Sheron,Louissant 52428 83915.7665206373 0.9490484653530489
Savings Haydee,Denooyer 49931 83921.86467783492 9.073167722778551
Regular Arlette,Honeywell 72792 83951.81523235604
Regular Cassi,Wildfong 99178 84119.19016200729
Regular Margart,Meisel 57936 84478.25696366698
Savings Melodie,Knipp 18927 84500.03967557756 6.597152233289939
Regular Garry,Keetch 81871 84536.52927379186
Regular Zona,Colla 73414 84636.82198378115
Investment Flo,Bookamer 46221 84642.07269199406 Property
Savings Talia,Riopelle 75152 84894.14884964273 6.018948437931843
Investment Izetta,Funnell 66338 84998.48071696746 Shares
Savings Abel,Maclead 13269 85146.23444877959 6.832529443537738
Investment Judy,Aquas 84339 85222.59030692826 Shares
Savings Barbra,Adkin 48631 85260.67609916427 10.503420473908331
Regular Kirk,Herritt 84644 85280.84088331288
Investment Francine,Vocelka 13147 85380.92404055326 Property
Regular Glory,Kulzer 62552 85383.969132444
Regular Lizbeth,Kohl 95612 85459.8145843031
Regular Rodolfo,Butzen 51911 85505.2551576054
Investment Lorrie,Nestle 76957 85629.06638461859 Growth
Regular Aliza,Baltimore 69939 85671.71417353483
Regular Mireya,Frerking 55655 86185.38486644645
Regular Layla,Springe 58121 86574.16675459122
Regular Chauncey,Motley 45432 86634.43686731567
Regular Christiane,Eschberger 87479 86755.3649779249
Investment Leonida,Gobern 46945 87157.86590703322 Shares
Savings Carmen,Sweigard 54136 87159.61867889174 6.155631337086822
Regular Junita,Stoltzman 74751 88137.4876372659
Investment Galen,Cantres 34243 88444.58019985384 Property
Investment Allene,Iturbide 25159 88732.74880613814 Shares
Regular Avery,Steier 47735 89024.11645137313
Savings Mitsue,Tollner 83731 89116.32980947854 2.2141362882463884
Regular Jolene,Ostolaza 19436 89358.37887691529
Investment Malcolm,Tromblay 69829 89406.21747518366 Growth
Regular Mitsue,Scipione 17928 89485.5982389697
Investment Lili,Paskin 73895 89605.4817705131 Property
Investment Shawnda,Yori 85592 89975.39991019927 Property
Savings Tarra,Nachor 76859 90184.65872572655 4.630398612430902
Savings An,Fritz 58873 90691.09384938012 9.941151088508938
Investment Gregoria,Pawlowicz 59259 91027.1431560656 Shares
Regular Ettie,Hoopengardner 42551 91086.36946127366
Savings Goldie,Schirpke 56534 91252.54421899072 10.497039847390464
Savings Mattie,Poquette 42261 91308.00875040823 5.278550886003302
Investment Buddy,Cloney 75417 91463.6351761036 Growth
Savings Alline,Jeanty 94454 91502.77278224897 2.4467860475208836
Investment Shalon,Shadrick 11117 91547.45480285284 Growth
Savings Simona,Morasca 92149 91552.06345988778 1.4130107003184769
Regular Arthur,Farrow 98476 91568.53291239488
Regular Lai,Gato 59668 91571.63387521132
Savings Annabelle,Boord 97672 91681.17515774179 7.75942344651941
Savings Olive,Matuszak 73885 91987.57103241803 1.3674697301098222
Regular Rikki,Nayar 98676 92278.31703904517
Regular Geoffrey,Acey 27462 92314.42655470251
Savings Cyndy,Goldammer 93187 92513.438469531 4.3083893373362985
Regular Gilma,Liukko 76125 92644.4416603123
Regular Sue,Kownacki 34544 92670.67215911103
Savings Gladys,Rim 42377 92862.92673462245 2.0442077647737826
Regular Franklyn,Emard 76373 93227.02711096403
Investment Elvera,Benimadho 23221 93230.4830854314 Growth
Regular Mollie,Mcdoniel 24849 93271.55119579266
Investment Carey,Dopico 49839 93373.02884659969 Shares
Investment Felicidad,Poullion 41157 85955.5118912419 Shares
Regular Glendora,Sarbacher 15321 93657.48241182466
Investment Teri,Ennaco 84552 94130.64445239151 Shares
Savings Kerry,Theodorov 86764 94543.47849547089 2.895394660233865
Regular Cordelia,Storment 42653 94567.75604113085
Regular Kaitlyn,Ogg 26497 94799.33853268187
Savings Vincent,Meinerding 84413 94824.83091583656 1.8900089327639216
Savings Vi,Rentfro 92393 95009.37449025674 6.872973882707539
Savings Karan,Karpin 99155 95105.50160695781 6.2882841228284665
Investment Marjory,Mastella 17598 95118.88867225441 Shares
Investment Trinidad,Mcrae 29776 95247.7796106365 Shares
Investment Nana,Wrinkles 33955 95371.4172628291 Shares
Regular Louvenia,Beech 31793 95807.97789889236
Savings Shonda,Greenbush 25763 95974.22503331596 10.523831482124272
Investment Jolanda,Hanafan 97134 95994.06094372543 Growth
Regular Oretha,Menter 63636 96193.62830272186
Investment Caprice,Suell 68891 96419.35152173742 Growth
Investment Kristel,Ehmann 72697 96676.46083651928 Growth
Savings Maile,Linahan 43776 96777.40662453191 5.692832903278484
Savings Paris,Wide 97419 96780.47764912323 3.6418484936488285
Savings Felix,Hirpara 99276 96835.11714919409 10.8297766203227
Regular Jesusita,Flister 66652 96840.64992972215
Savings Belen,Strassner 92141 96922.19298906012 1.0031775363953077
Regular Marguerita,Hiatt 47944 97564.51412004192
Regular Tonette,Wenner 55128 97626.97896215552
Investment Reena,Maisto 15955 97806.60929179468 Shares
Investment Sheridan,Zane 57852 98167.15278358867 Property
Regular Cathrine,Pontoriero 44233 98244.72592616414
Savings Rory,Papasergi 16362 98371.39736923658 7.198651366911354
Savings Theodora,Restrepo 51229 98412.340042984 10.102788881757055
Regular Candida,Corbley 64879 98654.06450588486
Investment Georgene,Montezuma 85788 98738.45277465417 Property
Savings Lawrence,Lorens 65358 98742.52305453473 9.951885216780934
Investment Blondell,Pugh 76554 103847.9181327523 Property
Regular Sylvie,Ryser 86243 98980.87125115594
Regular Ilene,Eroman 83393 98991.53912563964
Savings Maryann,Royster 21138 99030.49859552002 9.043622201917309
Savings Elli,Mclaird 46331 99360.58558000313 7.0387357702158795
Savings Fletcher,Flosi 23916 99546.96547695018 6.131027226124594
